year,country,arrivals
2019,United Arab Emirates,3300
2019,United Kingdom,60500
2019,United States of America,68700
2019,Vietnam,9500
2020,India,34500
2020,Argentina,1800
2020,Austria,1600
2020,Belgium,2000
2020,Brazil,4700
2020,Cambodia,1400
2020,Canada,15800
2020,Chile,2300
2020,China,112700
2020,Colombia,1900
2020,Denmark,2500
2020,Fij,3900
2020,Finland,1300
2020,France,11800
2020,Germany,17100
2020,Hong Kong,26900
2020,Indonesia,18000
2020,Iran,1000
2020,Ireland,5800
2020,Italy,6200
2020,Japan,42800
2020,Malaysia,31000
2020,Mexico,1200
2020,Netherlands,5400
2020,New Zealand,121300
2020,Norway,1900
2020,Papua New Guinea,3900
2020,Philippines,13300
2020,Poland,1800
2020,Russia,1500
2020,Saudi Arabia,1300
2020,Singapore,38800
2020,South Africa,5300
2020,South Korea,23400
2020,Spain,4100
2020,Sweden,3600
2020,Switzerland,4500
2020,Taiwan,17300
2020,Thailand,8800
2020,United Arab Emirates,3300
2020,United Kingdom,60000
2020,United States of America,68800
2020,Vietnam,11300
